0,11,1439388259922679
1,16,1439388260235138
2,21,1439388260547592
3,263,1439388277420248
4,269,1439388277795203
5,275,1439388278170143
6,280,1439388278482593
7,285,1439388278795041
8,291,1439388279169981
9,300,1439388279732407
10,309,1439388280294869
11,314,1439388280607342
12,321,1439388281044769
13,327,1439388281419711
14,332,1439388281732154
15,339,1439388282169585
16,355,1439388283169421
17,377,1439388284544279
18,382,1439388284856756
19,412,1439388286731514
20,451,1439388289168658
21,462,1439388289856081
22,469,1439388290293513
23,477,1439388290793434
24,483,1439388291168371
25,491,1439388291668291
26,517,1439388293293031
27,760,1439388310290684
28,806,1439388313477715
29,844,1439388316289828
30,994,1439388327475799
31,1010,1439388328725634
32,1035,1439388330600379
33,1050,1439388331725230
34,1066,1439388332850069
35,1088,1439388334537345
36,1104,1439388335724685
37,1121,1439388336974516
38,1137,1439388338161855
39,1154,1439388339411685
40,1169,1439388340474081
41,1182,1439388341411513
42,1193,1439388342098954
43,1200,1439388342536399
44,1215,1439388343473753
45,1233,1439388344598572
46,1248,1439388345535919
47,1262,1439388346410779
48,1272,1439388347035696
49,1283,1439388347723095
50,1291,1439388348223059
51,1298,1439388348660533
52,1304,1439388349035500
53,1315,1439388349722916
54,1322,1439388350160358
55,1332,1439388350785279
56,1353,1439388352097567
57,1370,1439388353159898
58,1389,1439388354347203
59,1408,1439388355534508
60,1425,1439388356659334
61,1439,1439388357659191
62,1455,1439388358909025
63,1479,1439388360658780
64,1498,1439388362096083
65,1524,1439388364095824
66,1558,1439388366595480
67,1645,1439388373032108
68,1676,1439388375344363
69,1686,1439388376031800
70,1695,1439388376594264
71,1711,1439388377594109
72,1728,1439388378656433
73,1739,1439388379343825
74,1751,1439388380093709
75,1763,1439388380843657
76,1768,1439388381156124
77,1779,1439388381843525
78,1790,1439388382530915
79,1801,1439388383218323
80,1809,1439388383718298
81,1820,1439388384405683
82,1843,1439388385842983
83,1875,1439388387842647
84,1907,1439388389842316
85,1930,1439388391529711
86,1953,1439388392967024
87,1976,1439388394404285
88,1998,1439388395779060
89,2019,1439388397091454
90,2047,1439388398841235
91,2060,1439388399653636
92,2087,1439388401340897
93,2113,1439388402965625
94,2125,1439388403715504
95,2131,1439388404090440
96,2139,1439388404590385
97,2147,1439388405090350
98,2153,1439388405465306
99,2163,1439388406090263
100,2183,1439388407340065
101,2197,1439388408214922
102,2208,1439388408902312
103,2218,1439388409527246
104,2225,1439388409964719
105,2233,1439388410464666
106,2243,1439388411089581
107,2253,1439388411714481
108,2261,1439388412214429
109,2270,1439388412776842
110,2278,1439388413276782
111,2288,1439388413901676
112,2298,1439388414526617
113,2309,1439388415214003
114,2323,1439388416088862
115,2336,1439388416901231
116,2345,1439388417463654
117,2355,1439388418088608
118,2363,1439388418588566
119,2370,1439388419025993
120,2379,1439388419588399
121,2387,1439388420088362
122,2394,1439388420525789
123,2403,1439388421088199
124,2410,1439388421525677
125,2420,1439388422150568
126,2430,1439388422775494
127,2445,1439388423712838
128,2458,1439388424525208
129,2467,1439388425087652
130,2474,1439388425525117
131,2483,1439388426087544
132,2493,1439388426712440
133,2501,1439388427212396
134,2516,1439388428149742
135,2536,1439388429399540
136,2549,1439388430211973
137,2555,1439388430586938
138,2561,1439388430961880
139,2574,1439388431774247
140,2585,1439388432461634
141,2595,1439388433086536
142,2602,1439388433523961
143,2608,1439388433898902
144,2613,1439388434211350
145,2618,1439388434523802
146,2623,1439388434836258
147,2628,1439388435148737
148,2635,1439388435586202
149,2642,1439388436023651
150,2652,1439388436648602
151,2662,1439388437273532
152,2670,1439388437773461
153,2679,1439388438335887
154,2686,1439388438773329
155,2693,1439388439210766
156,2699,1439388439585707
157,2709,1439388440210607
158,2724,1439388441147957
159,2732,1439388441647881
160,2743,1439388442335267
161,2752,1439388442897679
162,2763,1439388443585115
163,2774,1439388444272567
164,2788,1439388445147455
165,2805,1439388446209786
166,2823,1439388447334606
167,2840,1439388448396938
168,2858,1439388449521756
169,2878,1439388450771645
170,2889,1439388451459089
171,2900,1439388452146512
172,2919,1439388453333847
173,2941,1439388454708669
174,2957,1439388455708503
175,2970,1439388456520872
176,2983,1439388457333257
177,2995,1439388458083176
178,3006,1439388458770565
179,3016,1439388459395463
180,3027,1439388460082905
181,3034,1439388460520371
182,3041,1439388460957821
183,3048,1439388461395252
184,3054,1439388461770193
185,3062,1439388462270144
186,3071,1439388462832556
187,3088,1439388463894888
188,3111,1439388465332191
189,3125,1439388466207049
190,3134,1439388466769492
191,3144,1439388467394446
192,3162,1439388468519265
193,3174,1439388469269139
